PRDID;LOCID;KEYFIGUREDATE;ZDIVISIONID;ZGROUPKEYID;ZSALESOFFICEID;ZVKORGID;ZVTWEGID;ZACTUALPROMOTIONQTY;ZACTUALSALES;ZADJUSTEDSALESQTY;ZADJUSTEDSALESQTYINCLPRED;ZSTATISTICALEXPOSTFORECASTQTY;ZSTATISTICALFORECASTQTY;ZOUTLIERCORRECTIONTHRESHHOLD;ZOUTLIERCORRECTIONMARKER;ZACTUALSSALESADJ;ZDISAGGFACTOR;ZGROWTHFACTOR;ZSALESFORECAST;ZNEWPRODUCTFORECAST
898589;1050;2023-08-09;01;ZZ0057;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-23;01;ZZ0057;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-29;01;ZZ0057;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-11;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-12;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-13;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-16;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-17;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-19;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-20;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-23;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-24;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-25;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-27;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-30;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-31;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-09;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-10;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-15;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-16;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-02-17;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-08;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-09;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-10;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-14;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-15;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-16;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-17;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-20;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-21;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-22;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-27;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-28;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-29;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-30;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-03-31;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-04;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-05;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-11;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-12;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-13;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-14;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-17;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-19;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-20;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-21;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-24;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-04-25;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-04;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-05;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-09;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-10;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-11;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-12;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-15;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-16;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-17;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-19;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-22;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-24;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-25;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-26;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-05-31;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-01;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-02;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-05;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-06;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-07;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-09;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-12;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-14;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-15;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-16;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-19;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-20;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-21;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-22;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-23;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-26;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-27;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-28;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-29;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-06-30;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-31;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-01;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-02;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-03;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-07;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-08;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-09;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-10;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-11;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-14;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-15;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-16;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-17;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-18;01;ZZ0061;2002;1070;01;;0;;;;;;;;;;;
