Product Group,Product Family,Date,demand_quantity
Ale ,Beer,2013-01-01,37319
Ale ,Beer,2013-01-02,35884
Ale ,Beer,2013-01-03,37319
Ale ,Beer,2013-01-04,47367
Ale ,Beer,2013-01-05,48802
Ale ,Beer,2013-01-06,45931
Ale ,Beer,2013-01-07,24401
Ale ,Beer,2013-01-08,38754
Ale ,Beer,2013-01-09,33013
Ale ,Beer,2013-01-10,45931
Ale ,Beer,2013-01-11,45931
Ale ,Beer,2013-01-12,40190
Ale ,Beer,2013-01-13,45931
Ale ,Beer,2013-01-14,37319
Ale ,Beer,2013-01-15,33013
Ale ,Beer,2013-01-16,24401
Ale ,Beer,2013-01-17,30142
Ale ,Beer,2013-01-18,38754
Ale ,Beer,2013-01-19,28707
Ale ,Beer,2013-01-20,50237
Ale ,Beer,2013-01-21,30142
Ale ,Beer,2013-01-22,35884
Ale ,Beer,2013-01-23,53108
Ale ,Beer,2013-01-24,30142
Ale ,Beer,2013-01-25,33013
Ale ,Beer,2013-01-26,30142
Ale ,Beer,2013-01-27,41625
Ale ,Beer,2013-01-28,40190
Ale ,Beer,2013-01-29,35884
Ale ,Beer,2013-01-30,40190
Ale ,Beer,2013-01-31,22966
Ale ,Beer,2017-12-01,64591
Ale ,Beer,2017-12-02,67461
Ale ,Beer,2017-12-03,60285
Ale ,Beer,2017-12-04,40190
Ale ,Beer,2017-12-05,54543
Ale ,Beer,2017-12-06,45931
Ale ,Beer,2017-12-07,60285
Ale ,Beer,2017-12-08,68897
Ale ,Beer,2017-12-09,67461
Ale ,Beer,2017-12-10,86121
Ale ,Beer,2017-12-11,58849
Ale ,Beer,2017-12-12,58849
Ale ,Beer,2017-12-13,58849
Ale ,Beer,2017-12-14,57414
Ale ,Beer,2017-12-15,57414
Ale ,Beer,2017-12-16,64591
Ale ,Beer,2017-12-17,86121
Ale ,Beer,2017-12-18,37319
Ale ,Beer,2017-12-19,53108
Ale ,Beer,2017-12-20,55979
Ale ,Beer,2017-12-21,53108
Ale ,Beer,2017-12-22,53108
Ale ,Beer,2017-12-23,66026
Ale ,Beer,2017-12-24,87556
Ale ,Beer,2017-12-25,50237
Ale ,Beer,2017-12-26,43061
Ale ,Beer,2017-12-27,70332
Ale ,Beer,2017-12-28,64591
Ale ,Beer,2017-12-29,68897
Ale ,Beer,2017-12-30,54543
Ale ,Beer,2017-12-31,64591
