PRDID,LOCID,CURRID,ZDIVISIONID,ZGROUPKEYID,ZSALESOFFICEID,ZVKORGID,ZVTWEGID,KEYFIGUREDATE,ZNETTO2REVENUE
719095,1050,EUR,01,ZZ0044,1004,1010,01,2023-09-30,139.89999999999998
719095,1050,EUR,01,ZZ0085,1004,1010,01,2023-03-31,142.39999999999998
719095,1050,EUR,01,ZZ0085,1004,1010,01,2023-06-30,284.79999999999995
719095,1050,EUR,01,ZZ0127,1004,1010,01,2023-02-28,3837.0
719095,1050,EUR,01,ZZ0127,1004,1010,01,2023-04-30,-17.1
719095,1050,EUR,01,ZZ0127,1004,1010,01,2023-06-30,-84.57000000000001
719095,1050,EUR,01,ZZ0127,1004,1010,01,2023-07-31,-11.5
719095,1050,EUR,01,ZZ0127,1004,1010,01,2023-11-30,-16.55
719095,1050,EUR,01,ZZ0200,1004,1010,01,2023-02-28,2188.3
719095,1050,EUR,01,ZZ0200,1004,1010,01,2023-06-30,1951.1999999999998
719095,1050,EUR,01,ZZ0200,1004,1010,01,2023-07-31,975.5999999999999
719095,1050,EUR,01,ZZ0200,1004,1010,01,2023-08-31,650.4
719095,1050,EUR,01,ZZ0200,1004,1010,01,2023-09-30,1240.57
719095,1050,EUR,01,ZZ0200,1004,1010,01,2023-10-31,162.6
719095,1050,EUR,01,ZZ0209,1004,1010,01,2023-04-30,155.39999999999998
719095,1050,EUR,01,ZZ0209,1004,1010,01,2023-05-31,155.39999999999998
719095,1050,EUR,01,ZZ0209,1004,1010,01,2023-11-30,155.39999999999998
719095,1050,EUR,01,ZZ0216,1004,1010,01,2023-02-28,1989.0
719095,1050,EUR,01,ZZ0216,1004,1010,01,2023-05-31,-10.96
719095,1050,EUR,01,ZZ0216,1004,1010,01,2023-07-31,-1.85
719095,1050,EUR,01,ZZ0216,1004,1010,01,2023-09-30,590.9499999999999
719095,1050,EUR,01,ZZ0216,1004,1010,01,2023-11-30,155.07
719095,1050,EUR,01,ZZ0246,1004,1010,01,2023-04-30,170.7
719095,1050,EUR,01,ZZ0246,1004,1010,01,2023-05-31,170.7
719095,1050,EUR,01,ZZ0246,1004,1010,01,2023-06-30,341.4
719095,1050,EUR,01,ZZ0246,1004,1010,01,2023-08-31,170.7
719095,1050,EUR,01,ZZ0246,1004,1010,01,2023-09-30,170.7
719095,1050,EUR,01,ZZ0246,1004,1010,01,2023-10-31,341.4
