PRDID,LOCID,ZDIVISIONID,ZGROUPKEYID,ZSALESOFFICEID,ZVKORGID,ZVTWEGID,KEYFIGUREDATE,ZACTUALSALES
719095,1050,01,ZZ0044,1004,1010,01,2023-09-30,4.0
719095,1050,01,ZZ0085,1004,1010,01,2023-03-31,4.0
719095,1050,01,ZZ0085,1004,1010,01,2023-06-30,8.0
719095,1050,01,ZZ0127,1004,1010,01,2023-02-28,120.0
719095,1050,01,ZZ0127,1004,1010,01,2023-04-30,0.0
719095,1050,01,ZZ0127,1004,1010,01,2023-06-30,0.0
719095,1050,01,ZZ0127,1004,1010,01,2023-07-31,0.0
719095,1050,01,ZZ0127,1004,1010,01,2023-11-30,0.0
719095,1050,01,ZZ0200,1004,1010,01,2023-02-28,60.0
719095,1050,01,ZZ0200,1004,1010,01,2023-06-30,48.0
719095,1050,01,ZZ0200,1004,1010,01,2023-07-31,24.0
719095,1050,01,ZZ0200,1004,1010,01,2023-08-31,16.0
719095,1050,01,ZZ0200,1004,1010,01,2023-09-30,32.0
719095,1050,01,ZZ0200,1004,1010,01,2023-10-31,4.0
719095,1050,01,ZZ0209,1004,1010,01,2023-04-30,4.0
719095,1050,01,ZZ0209,1004,1010,01,2023-05-31,4.0
719095,1050,01,ZZ0209,1004,1010,01,2023-11-30,4.0
719095,1050,01,ZZ0216,1004,1010,01,2023-02-28,60.0
719095,1050,01,ZZ0216,1004,1010,01,2023-05-31,0.0
719095,1050,01,ZZ0216,1004,1010,01,2023-07-31,0.0
719095,1050,01,ZZ0216,1004,1010,01,2023-09-30,16.0
719095,1050,01,ZZ0216,1004,1010,01,2023-11-30,4.0
719095,1050,01,ZZ0246,1004,1010,01,2023-04-30,4.0
719095,1050,01,ZZ0246,1004,1010,01,2023-05-31,4.0
719095,1050,01,ZZ0246,1004,1010,01,2023-06-30,8.0
719095,1050,01,ZZ0246,1004,1010,01,2023-08-31,4.0
719095,1050,01,ZZ0246,1004,1010,01,2023-09-30,4.0
719095,1050,01,ZZ0246,1004,1010,01,2023-10-31,8.0
719095,1050,01,ZZ0248,1004,1010,01,2023-02-28,120.0
719095,1050,01,ZZ0248,1004,1010,01,2023-04-30,0.0
719095,1050,01,ZZ0248,1004,1010,01,2023-05-31,0.0
719095,1050,01,ZZ0248,1004,1010,01,2023-06-30,20.0
719095,1050,01,ZZ0248,1004,1010,01,2023-07-31,52.0
719095,1050,01,ZZ0248,1004,1010,01,2023-08-31,44.0
719095,1050,01,ZZ0248,1004,1010,01,2023-09-30,20.0
719095,1050,01,ZZ0248,1004,1010,01,2023-10-31,68.0
719095,1050,01,ZZ0248,1004,1010,01,2023-11-30,0.0
719095,1050,01,ZZ0249,1004,1010,01,2023-02-28,12.0
719095,1050,01,ZZ0249,1004,1010,01,2023-04-30,12.0
719095,1050,01,ZZ0249,1004,1010,01,2023-05-31,0.0
719095,1050,01,ZZ0249,1004,1010,01,2023-07-31,0.0
719095,1050,01,ZZ0249,1004,1010,01,2023-08-31,4.0
719095,1050,01,ZZ0249,1004,1010,01,2023-09-30,0.0
719095,1050,01,ZZ0250,1004,1010,01,2023-02-28,120.0
719095,1050,01,ZZ0250,1004,1010,01,2023-04-30,0.0
719095,1050,01,ZZ0250,1004,1010,01,2023-07-31,0.0
719095,1050,01,ZZ0250,1004,1010,01,2023-08-31,0.0
719095,1050,01,ZZ0250,1004,1010,01,2023-09-30,132.0
719095,1050,01,ZZ0250,1004,1010,01,2023-10-31,0.0
719095,1050,01,ZZ0250,1004,1010,01,2023-11-30,0.0
719095,1050,01,ZZ0290,1009,1030,01,2023-04-30,8.0
