PRDID;LOCID;KEYFIGUREDATE;CURRID;ZDIVISIONID;ZGROUPKEYID;ZSALESOFFICEID;ZVKORGID;ZVTWEGID;ZNETTO2REVENUE
898589;1050;2023-08-09;EUR;01;ZZ0057;2002;1070;01;-4,08
898589;1050;2023-08-23;EUR;01;ZZ0057;2002;1070;01;-12,24
898589;1050;2023-11-29;EUR;01;ZZ0057;2002;1070;01;-4,08
898589;1050;2023-01-11;EUR;01;ZZ0061;2002;1070;01;-9,62
898589;1050;2023-01-12;EUR;01;ZZ0061;2002;1070;01;-48,1
898589;1050;2023-01-13;EUR;01;ZZ0061;2002;1070;01;-240,5
898589;1050;2023-01-16;EUR;01;ZZ0061;2002;1070;01;-769,6
898589;1050;2023-01-17;EUR;01;ZZ0061;2002;1070;01;-48,1
898589;1050;2023-01-19;EUR;01;ZZ0061;2002;1070;01;-586,82
898589;1050;2023-01-20;EUR;01;ZZ0061;2002;1070;01;-153,92
898589;1050;2023-01-23;EUR;01;ZZ0061;2002;1070;01;-432,9
898589;1050;2023-01-24;EUR;01;ZZ0061;2002;1070;01;-163,54
898589;1050;2023-01-25;EUR;01;ZZ0061;2002;1070;01;-442,52
898589;1050;2023-01-27;EUR;01;ZZ0061;2002;1070;01;-452,14
898589;1050;2023-01-30;EUR;01;ZZ0061;2002;1070;01;-221,26
898589;1050;2023-01-31;EUR;01;ZZ0061;2002;1070;01;-144,3
898589;1050;2023-02-09;EUR;01;ZZ0061;2002;1070;01;-115,61
898589;1050;2023-02-10;EUR;01;ZZ0061;2002;1070;01;-489,52
898589;1050;2023-02-15;EUR;01;ZZ0061;2002;1070;01;-241,73
898589;1050;2023-02-16;EUR;01;ZZ0061;2002;1070;01;-105,1
898589;1050;2023-02-17;EUR;01;ZZ0061;2002;1070;01;-767,23
898589;1050;2023-03-08;EUR;01;ZZ0061;2002;1070;01;-711,88
898589;1050;2023-03-09;EUR;01;ZZ0061;2002;1070;01;-663,78
898589;1050;2023-03-10;EUR;01;ZZ0061;2002;1070;01;-1202,5
898589;1050;2023-03-14;EUR;01;ZZ0061;2002;1070;01;-19,24
898589;1050;2023-03-15;EUR;01;ZZ0061;2002;1070;01;-39,37
898589;1050;2023-03-16;EUR;01;ZZ0061;2002;1070;01;-461,76
898589;1050;2023-03-17;EUR;01;ZZ0061;2002;1070;01;-452,14
898589;1050;2023-03-20;EUR;01;ZZ0061;2002;1070;01;-250,12
