Product Group,Product Family,Date,demand_quantity
Ale ,Beer,2013-01-01,37319
Ale ,Beer,2013-01-02,35884
Ale ,Beer,2013-01-03,37319
Ale ,Beer,2013-01-04,47367
Ale ,Beer,2013-01-05,48802
Ale ,Beer,2013-01-06,45931
Ale ,Beer,2013-01-07,24401
Ale ,Beer,2013-01-08,38754
Ale ,Beer,2013-01-09,33013
Ale ,Beer,2013-01-10,45931
Ale ,Beer,2013-01-11,45931
Ale ,Beer,2013-01-12,40190
Ale ,Beer,2013-01-13,45931
Ale ,Beer,2013-01-14,37319
Ale ,Beer,2013-01-15,33013
Ale ,Beer,2013-01-16,24401
Ale ,Beer,2013-01-17,30142
Ale ,Beer,2013-01-18,38754
Ale ,Beer,2013-01-19,28707
Ale ,Beer,2013-01-20,50237
Ale ,Beer,2013-01-21,30142
Ale ,Beer,2013-01-22,35884
Ale ,Beer,2013-01-23,53108
Ale ,Beer,2013-01-24,30142
Ale ,Beer,2013-01-25,33013
Ale ,Beer,2013-01-26,30142
Ale ,Beer,2013-01-27,41625
Ale ,Beer,2013-01-28,40190
Ale ,Beer,2013-01-29,35884
Ale ,Beer,2013-01-30,40190
Ale ,Beer,2013-01-31,22966
Ale ,Beer,2013-02-01,40190
Ale ,Beer,2013-02-02,51673
Ale ,Beer,2013-02-03,43061
Ale ,Beer,2013-02-04,31578
Ale ,Beer,2013-02-05,24401
Ale ,Beer,2013-02-06,44496
Ale ,Beer,2013-02-07,58849
Ale ,Beer,2013-02-08,44496
Ale ,Beer,2013-02-09,43061
Ale ,Beer,2013-02-10,43061
Ale ,Beer,2013-02-11,38754
Ale ,Beer,2013-02-12,41625
Ale ,Beer,2013-02-13,60285
Ale ,Beer,2013-02-14,54543
Ale ,Beer,2013-02-15,50237
Ale ,Beer,2013-02-16,44496
Ale ,Beer,2013-02-17,47367
Ale ,Beer,2013-02-18,34448
Ale ,Beer,2013-02-19,40190
Ale ,Beer,2013-02-20,44496
Ale ,Beer,2013-02-21,41625
Ale ,Beer,2013-02-22,48802
Ale ,Beer,2013-02-23,47367
Ale ,Beer,2013-02-24,61720
Ale ,Beer,2013-02-25,34448
Ale ,Beer,2013-02-26,40190
Ale ,Beer,2013-02-27,37319
Ale ,Beer,2013-02-28,33013
Ale ,Beer,2013-03-01,57414
Ale ,Beer,2013-03-02,66026
Ale ,Beer,2013-03-03,63155
Ale ,Beer,2013-03-04,53108
Ale ,Beer,2013-03-05,38754
Ale ,Beer,2013-03-06,37319
Ale ,Beer,2013-03-07,34448
Ale ,Beer,2013-03-08,41625
Ale ,Beer,2013-03-09,53108
Ale ,Beer,2013-03-10,67461
Ale ,Beer,2013-03-11,45931
Ale ,Beer,2013-03-12,47367
Ale ,Beer,2013-03-13,43061
Ale ,Beer,2013-03-14,44496
Ale ,Beer,2013-03-15,61720
Ale ,Beer,2013-03-16,33013
Ale ,Beer,2013-03-17,53108
Ale ,Beer,2013-03-18,31578
Ale ,Beer,2013-03-19,61720
Ale ,Beer,2013-03-20,38754
Ale ,Beer,2013-03-21,43061
Ale ,Beer,2013-03-22,38754
Ale ,Beer,2013-03-23,55979
Ale ,Beer,2013-03-24,60285
Ale ,Beer,2013-03-25,37319
Ale ,Beer,2013-03-26,44496
Ale ,Beer,2013-03-27,50237
Ale ,Beer,2013-03-28,58849
Ale ,Beer,2013-03-29,55979
Ale ,Beer,2013-03-30,60285
Ale ,Beer,2013-03-31,64591
Ale ,Beer,2013-04-01,47367
Ale ,Beer,2013-04-02,38754
Ale ,Beer,2013-04-03,64591
Ale ,Beer,2013-04-04,57414
Ale ,Beer,2013-04-05,66026
Ale ,Beer,2013-04-06,66026
Ale ,Beer,2013-04-07,83250
Ale ,Beer,2013-04-08,50237
Ale ,Beer,2013-04-09,54543
Ale ,Beer,2013-04-10,63155
Ale ,Beer,2013-04-11,63155
Ale ,Beer,2013-04-12,54543
Ale ,Beer,2013-04-13,64591
Ale ,Beer,2013-04-14,73203
Ale ,Beer,2013-04-15,73203
Ale ,Beer,2013-04-16,55979
Ale ,Beer,2013-04-17,48802
Ale ,Beer,2013-04-18,61720
Ale ,Beer,2013-04-19,60285
Ale ,Beer,2013-04-20,60285
Ale ,Beer,2013-04-21,63155
Ale ,Beer,2013-04-22,48802
Ale ,Beer,2013-04-23,54543
Ale ,Beer,2013-04-24,55979
Ale ,Beer,2013-04-25,53108
Ale ,Beer,2013-04-26,70332
Ale ,Beer,2013-04-27,48802
Ale ,Beer,2013-04-28,70332
Ale ,Beer,2013-04-29,48802
Ale ,Beer,2013-04-30,41625
Ale ,Beer,2013-05-01,67461
Ale ,Beer,2013-05-02,53108
Ale ,Beer,2013-05-03,55979
Ale ,Beer,2013-05-04,53108
Ale ,Beer,2013-05-05,67461
Ale ,Beer,2013-05-06,57414
Ale ,Beer,2013-05-07,66026
Ale ,Beer,2013-05-08,54543
Ale ,Beer,2013-05-09,53108
Ale ,Beer,2013-05-10,83250
Ale ,Beer,2013-05-11,78944
Ale ,Beer,2013-05-12,86121
Ale ,Beer,2013-05-13,48802
Ale ,Beer,2013-05-14,58849
Ale ,Beer,2013-05-15,67461
Ale ,Beer,2013-05-16,73203
Ale ,Beer,2013-05-17,61720
Ale ,Beer,2013-05-18,77509
Ale ,Beer,2013-05-19,99039
Ale ,Beer,2013-05-20,57414
Ale ,Beer,2013-05-21,47367
Ale ,Beer,2013-05-22,71768
Ale ,Beer,2013-05-23,74638
Ale ,Beer,2013-05-24,78944
Ale ,Beer,2013-05-25,66026
Ale ,Beer,2013-05-26,67461
Ale ,Beer,2013-05-27,61720
Ale ,Beer,2013-05-28,57414
Ale ,Beer,2013-05-29,48802
Ale ,Beer,2013-05-30,57414
Ale ,Beer,2013-05-31,48802
Ale ,Beer,2013-06-01,84686
Ale ,Beer,2013-06-02,84686
Ale ,Beer,2013-06-03,68897
Ale ,Beer,2013-06-04,66026
Ale ,Beer,2013-06-05,73203
Ale ,Beer,2013-06-06,78944
Ale ,Beer,2013-06-07,76074
Ale ,Beer,2013-06-08,73203
Ale ,Beer,2013-06-09,96168
Ale ,Beer,2013-06-10,45931
Ale ,Beer,2013-06-11,58849
Ale ,Beer,2013-06-12,54543
Ale ,Beer,2013-06-13,76074
Ale ,Beer,2013-06-14,71768
Ale ,Beer,2013-06-15,88992
Ale ,Beer,2013-06-16,80380
Ale ,Beer,2013-06-17,48802
Ale ,Beer,2013-06-18,64591
