Date,demand_quantity,combined
2013-01-01,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-02,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-03,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-04,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-05,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-06,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-07,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-08,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-09,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-10,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-11,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-12,10047,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-13,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-14,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-15,7177,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-16,10047,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-17,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-18,10047,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-19,25836,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-20,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-21,11483,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-22,10047,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-23,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-24,11483,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-25,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-26,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-27,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-28,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-29,8612,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-30,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-01-31,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-01,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-02,30142,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-03,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-04,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-05,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-06,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-07,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-08,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-09,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-10,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-11,22966,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-12,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-13,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-14,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-15,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-16,10047,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-17,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-18,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-19,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-20,10047,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-21,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-22,17224,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-23,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-24,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-25,10047,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-26,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-27,12918,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-02-28,14354,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-01,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-02,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-03,28707,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-04,20095,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-05,18660,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-06,24401,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-07,15789,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
2013-03-08,21530,Mexico // Mexico City // Beer // IPA  // Fancy Beer IPA 330 ml
